6803;6805;146714.0
6805;6809;15257.0
6805;6806;7842.0
6805;6807;9033.0
6808;6816;82440.0
6808;6857;1742569.0
6808;6814;79606.0
6809;6810;2822.0
6810;6811;13195.0
6812;6841;335524.0
6812;6813;11499.0
6813;6840;320529.0
6814;6827;46689.0
6814;6815;1216.0
6815;6832;258628.0
6816;6817;1278.0
6817;6818;1767.0
6818;6819;165.0
6819;6821;483.0
6820;6825;5165.0
6821;6822;486.0
6822;6823;756.0
6823;6824;3543.0
6825;6826;3062.0
6826;6831;243820.0
6827;6833;213372.0
6828;6829;2647.0
6829;6830;26847.0
6831;6843;84862.0
6832;6834;2449.0
6832;6835;4075.0
6834;6839;9297.0
6836;6837;5158.0
6837;6838;1361.0
6841;6842;10892.0
6844;6845;26634.0
6845;6846;3801.0
6847;6848;85328.0
6848;6849;81746.0
6849;6850;60236.0
6851;6852;41052.0
6851;6853;45272.0
6853;6856;290695.0
6854;6855;46739.0
6857;6858;4126.0
6858;6859;2433.0
6858;6861;3600.0
6859;6860;646.0
6860;6865;226996.0
6861;6862;1974.0
6862;6863;1023.0
6863;6864;3526.0
